year,region_code,region,exiobase_code,exiobase_category,ef_kgco23_per_mil_euros,ef_kgco2e_per_euro,market
2022,CY,Cyprus,p13.20.13,Aluminium ores and concentrates,12778000000,12778,"EMEA (Europe, the Middle East and Africa)"
2022,CZ,Czech Republic,p13.20.13,Aluminium ores and concentrates,1147598.96,1.14759896,"EMEA (Europe, the Middle East and Africa)"
2022,DE,Germany,p13.20.13,Aluminium ores and concentrates,275596.68,0.27559668,"EMEA (Europe, the Middle East and Africa)"
2022,DK,Denmark,p13.20.13,Aluminium ores and concentrates,663891.2,0.6638912,"EMEA (Europe, the Middle East and Africa)"
2022,EE,Estonia,p13.20.13,Aluminium ores and concentrates,398423.51,0.39842351,"EMEA (Europe, the Middle East and Africa)"
2022,ES,Spain,p13.20.13,Aluminium ores and concentrates,68538.68,0.06853868,"EMEA (Europe, the Middle East and Africa)"
2022,FI,Finland,p13.20.13,Aluminium ores and concentrates,217303.52,0.21730352,"EMEA (Europe, the Middle East and Africa)"
2022,FR,France,p13.20.13,Aluminium ores and concentrates,2728883.91,2.72888391,"EMEA (Europe, the Middle East and Africa)"
2022,GR,Greece,p13.20.13,Aluminium ores and concentrates,1108795.67,1.10879567,"EMEA (Europe, the Middle East and Africa)"
2022,HR,Croatia,p13.20.13,Aluminium ores and concentrates,997303.55,0.99730355,"EMEA (Europe, the Middle East and Africa)"
2022,HU,Hungary,p13.20.13,Aluminium ores and concentrates,7948251.07,7.94825107,"EMEA (Europe, the Middle East and Africa)"
2022,IE,Ireland,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,IT,Italy,p13.20.13,Aluminium ores and concentrates,292851.99,0.29285199,"EMEA (Europe, the Middle East and Africa)"
2022,LT,Lithuania,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,LU,Luxembourg,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,LV,Latvia,p13.20.13,Aluminium ores and concentrates,14981208.9,14.9812089,"EMEA (Europe, the Middle East and Africa)"
2022,MT,Malta,p13.20.13,Aluminium ores and concentrates,35066752.4,35.0667524,"EMEA (Europe, the Middle East and Africa)"
2022,NL,Netherlands,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,PL,Poland,p13.20.13,Aluminium ores and concentrates,305993.31,0.30599331,"EMEA (Europe, the Middle East and Africa)"
2022,PT,Portugal,p13.20.13,Aluminium ores and concentrates,1067653.49,1.06765349,"EMEA (Europe, the Middle East and Africa)"
2022,RO,Romania,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,SE,Sweden,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,SI,Slovenia,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,SK,Slovakia,p13.20.13,Aluminium ores and concentrates,1368793.52,1.36879352,"EMEA (Europe, the Middle East and Africa)"
2022,GB,United Kingdom,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,US,United States,p13.20.13,Aluminium ores and concentrates,355592.2,0.3555922,NA (North America)
2022,JP,Japan,p13.20.13,Aluminium ores and concentrates,0,0,APAC (Asia-Pacific)
2022,CN,China,p13.20.13,Aluminium ores and concentrates,5080146.9,5.0801469,APAC (Asia-Pacific)
2022,CA,Canada,p13.20.13,Aluminium ores and concentrates,790916.33,0.79091633,NA (North America)
2022,KR,Korea,p13.20.13,Aluminium ores and concentrates,0,0,APAC (Asia-Pacific)
2022,BR,Brazil,p13.20.13,Aluminium ores and concentrates,1275547.74,1.27554774,LATAM (Latin America)
2022,IN,India,p13.20.13,Aluminium ores and concentrates,2243752.37,2.24375237,APAC (Asia-Pacific)
2022,MX,Mexico,p13.20.13,Aluminium ores and concentrates,528582.25,0.52858225,LATAM (Latin America)
2022,RU,Russia,p13.20.13,Aluminium ores and concentrates,1998317.89,1.99831789,"EMEA (Europe, the Middle East and Africa)"
2022,AU,Australia,p13.20.13,Aluminium ores and concentrates,943084.17,0.94308417,APAC (Asia-Pacific)
2022,CH,Switzerland,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,TR,Turkey,p13.20.13,Aluminium ores and concentrates,1088249.61,1.08824961,"EMEA (Europe, the Middle East and Africa)"
2022,TW,Taiwan,p13.20.13,Aluminium ores and concentrates,2032946.75,2.03294675,APAC (Asia-Pacific)
2022,NO,Norway,p13.20.13,Aluminium ores and concentrates,1087445.51,1.08744551,"EMEA (Europe, the Middle East and Africa)"
2022,ID,Indonesia,p13.20.13,Aluminium ores and concentrates,1016100.66,1.01610066,APAC (Asia-Pacific)
2022,ZA,South Africa,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,WA,ROW-Asia,p13.20.13,Aluminium ores and concentrates,2058975.71,2.05897571,APAC (Asia-Pacific)
2022,WL,ROW-Americas,p13.20.13,Aluminium ores and concentrates,24486020.5,24.4860205,LATAM (Latin America)
2022,WE,ROW-Europe,p13.20.13,Aluminium ores and concentrates,2553432.61,2.55343261,"EMEA (Europe, the Middle East and Africa)"
2022,WF,ROW-Africa,p13.20.13,Aluminium ores and concentrates,3084342.45,3.08434245,"EMEA (Europe, the Middle East and Africa)"
2022,WM,ROW-Middle East,p13.20.13,Aluminium ores and concentrates,1253535.45,1.25353545,"EMEA (Europe, the Middle East and Africa)"
2022,AT,Austria,p01.m,Animal products n.e.c.,3646620.31,3.64662031,"EMEA (Europe, the Middle East and Africa)"
2022,BE,Belgium,p01.m,Animal products n.e.c.,2619640.17,2.61964017,"EMEA (Europe, the Middle East and Africa)"
2022,BG,Bulgaria,p01.m,Animal products n.e.c.,1865341.26,1.86534126,"EMEA (Europe, the Middle East and Africa)"
2022,CY,Cyprus,p01.m,Animal products n.e.c.,1953034.89,1.95303489,"EMEA (Europe, the Middle East and Africa)"
2022,CZ,Czech Republic,p01.m,Animal products n.e.c.,1461273.36,1.46127336,"EMEA (Europe, the Middle East and Africa)"
2022,DE,Germany,p01.m,Animal products n.e.c.,2804006.54,2.80400654,"EMEA (Europe, the Middle East and Africa)"
2022,DK,Denmark,p01.m,Animal products n.e.c.,1683765.81,1.68376581,"EMEA (Europe, the Middle East and Africa)"
2022,EE,Estonia,p01.m,Animal products n.e.c.,3102701.31,3.10270131,"EMEA (Europe, the Middle East and Africa)"
2022,ES,Spain,p01.m,Animal products n.e.c.,2931415.38,2.93141538,"EMEA (Europe, the Middle East and Africa)"
2022,FI,Finland,p01.m,Animal products n.e.c.,2930724.11,2.93072411,"EMEA (Europe, the Middle East and Africa)"
2022,FR,France,p01.m,Animal products n.e.c.,3310933.87,3.31093387,"EMEA (Europe, the Middle East and Africa)"
2022,GR,Greece,p01.m,Animal products n.e.c.,3004194.09,3.00419409,"EMEA (Europe, the Middle East and Africa)"
2022,HR,Croatia,p01.m,Animal products n.e.c.,2633520.68,2.63352068,"EMEA (Europe, the Middle East and Africa)"
2022,HU,Hungary,p01.m,Animal products n.e.c.,1155392.17,1.15539217,"EMEA (Europe, the Middle East and Africa)"
2022,IE,Ireland,p01.m,Animal products n.e.c.,2578098.82,2.57809882,"EMEA (Europe, the Middle East and Africa)"
2022,IT,Italy,p01.m,Animal products n.e.c.,1796473.28,1.79647328,"EMEA (Europe, the Middle East and Africa)"
2022,LT,Lithuania,p01.m,Animal products n.e.c.,4976951.66,4.97695166,"EMEA (Europe, the Middle East and Africa)"
2022,LU,Luxembourg,p01.m,Animal products n.e.c.,10530748.5,10.5307485,"EMEA (Europe, the Middle East and Africa)"
2022,LV,Latvia,p01.m,Animal products n.e.c.,3317818.41,3.31781841,"EMEA (Europe, the Middle East and Africa)"
2022,MT,Malta,p01.m,Animal products n.e.c.,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,NL,Netherlands,p01.m,Animal products n.e.c.,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,PL,Poland,p01.m,Animal products n.e.c.,1944266.7,1.9442667,"EMEA (Europe, the Middle East and Africa)"
2022,PT,Portugal,p01.m,Animal products n.e.c.,3408427.9,3.4084279,"EMEA (Europe, the Middle East and Africa)"
2022,RO,Romania,p01.m,Animal products n.e.c.,2941612.2,2.9416122,"EMEA (Europe, the Middle East and Africa)"
2022,SE,Sweden,p01.m,Animal products n.e.c.,2291262.54,2.29126254,"EMEA (Europe, the Middle East and Africa)"
2022,SI,Slovenia,p01.m,Animal products n.e.c.,223124.16,0.22312416,"EMEA (Europe, the Middle East and Africa)"
2022,SK,Slovakia,p01.m,Animal products n.e.c.,1558861,1.558861,"EMEA (Europe, the Middle East and Africa)"
2022,GB,United Kingdom,p01.m,Animal products n.e.c.,3993974.23,3.99397423,"EMEA (Europe, the Middle East and Africa)"
2022,US,United States,p01.m,Animal products n.e.c.,166545.21,0.16654521,NA (North America)
2022,JP,Japan,p01.m,Animal products n.e.c.,444151.94,0.44415194,APAC (Asia-Pacific)
